Song_ID,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Mood
1ovZe7upcqycTuPFfOg6kB,complex (demo),Katie Gregson-MacLeod,0.384,0.167,0,-9.92,1,0.0375,0.924,0.0,0.118,0.258,95.102,256108,4,sadness
3Inj1eHMvEhwUFej1LYR0d,Shouldn't Be Thinking About You,Jamie Grey,0.708,0.298,6,-8.704,1,0.0483,0.887,0.0,0.101,0.399,86.838,171724,4,sadness
5DwJKJ3Gg5UlzsTMpYXkwT,Bad Life - acoustic,"Sigrid, Bring Me The Horizon",0.542,0.358,4,-8.641,1,0.0544,0.612,0.0,0.369,0.434,189.826,220240,4,sadness
135Lf4Q0CzlMNfOxbEUsLH,GHOST TOWN,Benson Boone,0.391,0.335,0,-10.064,1,0.0763,0.389,0.0,0.102,0.116,174.185,193733,3,sadness
7MOCaEUbfGyq1K96umNVwJ,Pray,Jessie Murph,0.588,0.39,8,-7.753,1,0.0578,0.726,1.26e-05,0.0965,0.206,96.571,146267,4,sadness
3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,Lauren Spencer Smith,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,175345,4,sadness
5dXiKFepHXZktud7z5635H,London Is Lonely,Holly Humberstone,0.482,0.43,10,-7.224,1,0.0481,0.763,2.79e-06,0.344,0.113,143.23,234760,4,sadness
6uvh0In7u1Xn4HgxOfAn8O,Matilda,Harry Styles,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199,245964,4,sadness
5jQVx40dbpDsstcwlhpk9u,trust issues,Jessica Baio,0.587,0.453,9,-9.357,1,0.129,0.356,0.00205,0.0812,0.352,161.146,134263,4,sadness
3PhzwF9SOkkMIoUSIxFtwo,I Lost Myself In Loving You,Jamie Miller,0.456,0.615,1,-5.454,1,0.0529,0.614,0.0,0.0908,0.416,78.461,201307,4,sadness
07vp6uxlDyqDPhjLWhFbSI,Boyfriend Of The Year (Sadder),Bellah Mae,0.485,0.396,1,-6.855,1,0.0594,0.738,0.0,0.0801,0.42,94.668,201290,5,sadness
2TktkzfozZifbQhXjT6I33,Evergreen (You Didn’t Deserve Me At All),Omar Apollo,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,216680,3,sadness
3ZBeHiRJUj1vdiU8zzGPgb,WYD Now?,Sadie Jean,0.378,0.334,1,-10.993,1,0.304,0.776,0.0,0.115,0.496,181.296,144667,4,sadness
5gukv8x9eP58gFy2OcZEBQ,drunk text me,Lexi Jayde,0.534,0.493,0,-6.818,1,0.0316,0.286,0.0,0.0889,0.232,79.97,213133,4,sadness
1cpVLszZnKUHUjsJDTEi3D,Black Hole - Acoustic Version,Griff,0.824,0.3,1,-6.678,0,0.0565,0.854,0.0,0.174,0.227,112.867,175980,4,sadness
6gPPoRYJwCsoB2VVdPJfmo,Miserable Man,David Kushner,0.632,0.349,10,-10.289,1,0.0346,0.926,7.5e-05,0.294,0.307,109.981,232992,4,sadness
6hjh2phISvfR1Ib6S0FK7b,Trying My Best,Anson Seabra,0.691,0.0682,5,-18.186,1,0.0645,0.951,0.0,0.0916,0.352,76.94,222468,4,sadness
5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013,4,sadness
1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4,sadness
1Jt24MPLz6fGXSCTlXTjzF,ur so pretty,Wasia Project,0.322,0.231,4,-12.919,1,0.0347,0.932,0.00076,0.149,0.228,91.186,132000,3,sadness
02dRkCEc8Q5ch4TTcnLxOn,Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus",0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.418,0.244,114.066,217099,4,sadness
1ItdTDx23yt7tIJOZv5iLQ,One Of Us,Ava Max,0.626,0.842,0,-3.827,0,0.0357,0.014,0.0,0.235,0.55,145.03,178010,4,sadness
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,sadness
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4,sadness
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4,sadness
4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4,sadness
76OGwb5RA9h4FxQPT33ekc,SNAP,Rosa Linn,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,179551,4,sadness
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4,sadness
7eB1V5LvAdxCc7brfGhRRo,watch,Billie Eilish,0.441,0.599,0,-8.985,1,0.225,0.333,0.00198,0.103,0.35,165.212,177523,4,sadness
6HU7h9RYOaPRFeh0R3UeAr,deja vu,Olivia Rodrigo,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4,sadness
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,184448,3,sadness
7xoUc6faLbCqZO6fQEYprd,One Last Time,Ariana Grande,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4,sadness
7lidXGPXPYLNThITAOTlkK,You should be sad,Halsey,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,205473,4,sadness
12M5uqx0ZuwkpLp5rJim1a,Cornelia Street,Taylor Swift,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,287267,4,sadness
63mdJr3NMY3wReOkNE6c6W,People You Know,Selena Gomez,0.695,0.62,8,-8.082,0,0.0521,0.0881,5.43e-05,0.111,0.62,150.032,194900,4,sadness
3Rc2ajBMInxeNGVkMPC92Y,Dancing On My Own,Robyn,0.678,0.871,6,-4.781,1,0.0342,0.0587,0.249,0.0928,0.28,117.029,285973,4,sadness
6nVKC0GCQrf9MQSJgYiaEr,Crying On The Bathroom Floor,MUNA,0.57,0.836,1,-6.431,1,0.103,0.1,0.0,0.173,0.318,114.96,255507,4,sadness
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),"Julia Michaels, Niall Horan",0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,173307,4,sadness
51NFxnQvaosfDDutk0tams,bellyache,Billie Eilish,0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,179172,4,sadness
